Server_ID,Hostname,OS_Type,Server_Location,Server_Status,Avg_CPU_Utilization,Avg_Memory_Usage,Avg_Disk_IO,Avg_Network_In,Avg_Network_Out,Avg_Total_Network_Traffic,Avg_Uptime_Hours,Avg_Downtime_Hours,CPU_Alert_Count,Memory_Alert_Count,Disk_Alert_Count,Downtime_Event_Count
0435b059-4f09-4a27-abfc-2a2bd4548aa7,srv-backup01,Windows Server 2019,"New York, USA",Critical,87.98,34.46,66.78,103.02,84.46,187.48,21.05,2.95,1,0,0,1
04799af0-d18c-4d82-925b-cdcc9b69ee0c,srv-analytics03,Ubuntu 20.04,"New York, USA",Healthy,51.42,54.94,32.41,73.8,10.24,84.03999999999999,19.14,4.86,0,0,0,1
0564a58b-bc34-4c9c-9cdc-907fc1708c67,srv-cache01,CentOS 8,"Berlin, Germany",Warning,32.97,86.84,22.0,121.4,66.61,188.01,21.01,2.99,0,0,0,1
05dcde9e-836e-4169-b3dc-519478cbafa0,srv-database01,Red Hat Enterprise Linux,"Sydney, Australia",Healthy,46.02,31.73,48.49,60.4,83.46,143.85999999999999,19.54,4.46,0,0,0,1
07b5619c-8ed1-4226-a35c-880b76379cab,srv-web03,Windows Server 2022,"Berlin, Germany",Critical,63.36,94.26,27.6,145.69,55.57,201.26,21.88,2.12,0,1,0,1
0859608c-7f1b-4332-ba35-d50885c3c029,srv-web02,Windows Server 2022,"New York, USA",Critical,86.0,65.67,87.6,149.61,72.33,221.94,18.51,5.49,1,0,1,1
08ac5795-9603-4848-9fc0-f20307b026aa,srv-cache03,Ubuntu 20.04,"London, UK",Warning,17.66,79.55,13.41,67.99,71.75,139.74,18.49,5.51,0,0,0,1
08da88a1-335a-49bb-8722-34fad4ea1661,srv-analytics01,Ubuntu 20.04,"Tokyo, Japan",Warning,82.13,39.08,84.13,119.23,118.19,237.42000000000002,22.66,1.34,0,0,0,1
0959611f-38cb-420e-8e54-87de77b37e17,srv-analytics02,Red Hat Enterprise Linux,"Berlin, Germany",Healthy,34.84,54.65,35.88,37.23,124.98,162.21,22.4,1.6,0,0,0,1
09d5a8a9-bd36-47a5-b851-07e5a865ce34,srv-api03,Windows Server 2022,"Berlin, Germany",Critical,87.52,41.03,70.97,84.5,75.52,160.01999999999998,19.6,4.4,1,0,0,1
0a0c694c-17be-4566-9c77-8e74ff8c4839,srv-database02,Red Hat Enterprise Linux,"Tokyo, Japan",Warning,80.58,81.95,49.5,115.76,119.02,234.78,19.3,4.7,0,0,0,1
0a33a4cd-1a22-418e-bef8-321c1ec3cbf8,srv-analytics02,Windows Server 2019,"Sydney, Australia",Warning,23.54,40.76,71.74,89.57,106.29,195.86,21.11,2.89,0,0,0,1
0a3eb18a-58dc-4b3d-9f77-6aa79acd4a02,srv-app01,Windows Server 2019,"Tokyo, Japan",Warning,64.93,79.64,69.06,49.02,119.89,168.91,22.03,1.97,0,0,0,1
0daade74-2f6b-4ffa-8968-6a473181add6,srv-database02,Red Hat Enterprise Linux,"Tokyo, Japan",Warning,74.18,30.41,48.19,30.94,127.02,157.96,21.66,2.34,0,0,0,1
10004a69-09d9-42c3-aeac-4f85cde41e39,srv-analytics03,Red Hat Enterprise Linux,"Sydney, Australia",Healthy,12.21,63.89,12.34,48.5,132.37,180.87,20.38,3.62,0,0,0,1
1263f1f7-42dd-447a-9ad2-fe60654f0154,srv-database01,Red Hat Enterprise Linux,"Berlin, Germany",Healthy,19.73,29.52,59.17,85.06,59.97,145.03,21.67,2.33,0,0,0,1
159e48e3-d466-4655-8c6b-823e0de48faf,srv-cache02,Windows Server 2019,"London, UK",Critical,43.05,95.76,79.01,49.06,29.37,78.43,21.38,2.62,0,1,0,1
169f8460-9372-40b2-9521-fcd86e4e2829,srv-app02,Windows Server 2022,"London, UK",Warning,76.28,20.79,38.79,56.86,66.09,122.95,20.97,3.03,0,0,0,1
17ea735b-ff4f-4c7f-8a6d-f596a5510d4e,srv-analytics03,Windows Server 2019,"Berlin, Germany",Warning,56.18,85.81,82.82,124.14,42.77,166.91,22.69,1.31,0,0,0,1
182ce3e2-96d9-4639-a1cf-09c5352bd37e,srv-app02,CentOS 8,"Sydney, Australia",Critical,13.05,24.77,99.3,113.22,74.57,187.79,18.84,5.16,0,0,1,1
198b38ac-dc7e-4638-8521-744dc7121841,srv-backup02,Windows Server 2019,"London, UK",Warning,84.99,27.63,31.48,80.96,143.79,224.75,19.98,4.02,0,0,0,1
1ac75ca2-8b59-4b90-897a-64c7913b5098,srv-api03,Ubuntu 20.04,"Berlin, Germany",Critical,44.27,20.03,93.94,121.16,11.86,133.01999999999998,19.27,4.73,0,0,1,1
1ca0a88a-f163-421b-8fe2-7ef72d14a685,srv-analytics03,Windows Server 2019,"Tokyo, Japan",Warning,10.57,20.79,84.73,131.93,50.77,182.70000000000002,20.73,3.27,0,0,0,1
1ce1db28-d790-4d9b-ab97-a4fca8dc8779,srv-api02,Ubuntu 20.04,"Sydney, Australia",Healthy,35.8,28.95,68.74,108.85,60.86,169.70999999999998,22.99,1.01,0,0,0,1
208f4b78-88d8-4528-8dcc-2524d6d710fc,srv-web02,Windows Server 2019,"London, UK",Critical,44.98,85.3,99.64,98.6,54.44,153.04,21.7,2.3,0,0,1,1
231ff169-049b-469e-afe2-106af40e371e,srv-backup02,CentOS 8,"Tokyo, Japan",Critical,76.93,56.28,92.79,15.82,27.08,42.9,19.95,4.05,0,0,1,1
263e2221-7f06-4803-9bb2-7c26818829de,srv-analytics02,Windows Server 2019,"Sydney, Australia",Healthy,37.09,56.42,27.57,57.95,125.23,183.18,22.82,1.18,0,0,0,1
26bae71d-c025-4082-9484-ef7aa9e04836,srv-web02,Ubuntu 20.04,"London, UK",Warning,49.72,84.35,73.89,123.34,97.1,220.44,19.71,4.29,0,0,0,1
270cd957-a331-4dc2-bbcf-85b91e292784,srv-cache03,Ubuntu 20.04,"Berlin, Germany",Warning,62.76,76.1,52.29,34.2,142.94,177.14,18.66,5.34,0,0,0,1
28fe2731-7083-4dd0-97aa-e535ecd8842f,srv-api02,CentOS 8,"Berlin, Germany",Healthy,12.99,58.45,27.97,72.81,122.67,195.48000000000002,19.96,4.04,0,0,0,1
2a5e4119-aac6-43b2-a966-facc92dc657e,srv-cache02,Windows Server 2019,"London, UK",Critical,46.32,97.77,26.87,145.98,15.94,161.92,18.7,5.3,0,1,0,1
2bcf9791-4750-4c36-9cd5-88335c385de4,srv-app01,CentOS 8,"London, UK",Critical,94.01,60.56,31.86,10.33,89.24,99.57,20.29,3.71,1,0,0,1
2c052f16-fe45-4915-9d65-d908d77a0da5,srv-cache01,Windows Server 2022,"London, UK",Critical,89.41,60.74,92.42,149.66,89.83,239.49,21.63,2.37,1,0,1,1
2cfe603c-3683-452b-881c-8b51f5c7c3ce,srv-analytics02,Windows Server 2022,"New York, USA",Healthy,33.17,47.99,64.99,15.71,55.36,71.07,22.1,1.9,0,0,0,1
3145367a-2b21-41fc-8eef-1d92088de8a4,srv-api02,Windows Server 2019,"London, UK",Critical,88.99,42.49,91.11,132.52,35.24,167.76000000000002,20.57,3.43,1,0,1,1
31b4037d-4400-483b-ac3b-62a4e0fdb3de,srv-app01,CentOS 8,"Tokyo, Japan",Healthy,24.9,38.19,62.9,74.42,96.16,170.57999999999998,20.15,3.85,0,0,0,1
